match,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,prop_id,under_prop_id,agency,opposition_team
Perth Wildcats v Cairns Taipans,Perth Wildcats,Cairns Taipans,Player Points,Sunday Dech,Perth Wildcats,4.5,1.25,NA,572284,NA,TAB,Cairns Taipans
South East Melbourne Phoenix v New Zealand Breakers,South East Melbourne Phoenix,New Zealand Breakers,Player Points,NA NA,NA,9.5,3,NA,566417,NA,TAB,NA
South East Melbourne Phoenix v New Zealand Breakers,South East Melbourne Phoenix,New Zealand Breakers,Player Points,NA NA,NA,14.5,8,NA,566447,NA,TAB,NA
South East Melbourne Phoenix v New Zealand Breakers,South East Melbourne Phoenix,New Zealand Breakers,Player Points,NA NA,NA,4.5,1.35,NA,566316,NA,TAB,NA
Sydney Kings v Tasmania JackJumpers,Sydney Kings,Tasmania JackJumpers,Player Points,Tim Soares,Sydney Kings,9.5,1.5,NA,570326,NA,TAB,Tasmania JackJumpers
Sydney Kings v Tasmania JackJumpers,Sydney Kings,Tasmania JackJumpers,Player Points,Tim Soares,Sydney Kings,14.5,3,NA,570380,NA,TAB,Tasmania JackJumpers
Sydney Kings v Tasmania JackJumpers,Sydney Kings,Tasmania JackJumpers,Player Points,Tim Soares,Sydney Kings,19.5,7,NA,570396,NA,TAB,Tasmania JackJumpers
Sydney Kings v Tasmania JackJumpers,Sydney Kings,Tasmania JackJumpers,Player Points,Tim Soares,Sydney Kings,4.5,1.05,NA,570194,NA,TAB,Tasmania JackJumpers
Sydney Kings v Tasmania JackJumpers,Sydney Kings,Tasmania JackJumpers,Player Points,NA NA,NA,9.5,1.8,NA,570316,NA,TAB,NA
Sydney Kings v Tasmania JackJumpers,Sydney Kings,Tasmania JackJumpers,Player Points,NA NA,NA,14.5,4,NA,570379,NA,TAB,NA
Sydney Kings v Tasmania JackJumpers,Sydney Kings,Tasmania JackJumpers,Player Points,NA NA,NA,19.5,11,NA,570395,NA,TAB,NA
Sydney Kings v Tasmania JackJumpers,Sydney Kings,Tasmania JackJumpers,Player Points,NA NA,NA,4.5,1.1,NA,570193,NA,TAB,NA
Sydney Kings v Tasmania JackJumpers,Sydney Kings,Tasmania JackJumpers,Player Points,Tyger Campbell,Tasmania JackJumpers,9.5,1.75,NA,570368,NA,TAB,Sydney Kings
Sydney Kings v Tasmania JackJumpers,Sydney Kings,Tasmania JackJumpers,Player Points,Tyger Campbell,Tasmania JackJumpers,14.5,4.5,NA,570389,NA,TAB,Sydney Kings
Sydney Kings v Tasmania JackJumpers,Sydney Kings,Tasmania JackJumpers,Player Points,Tyger Campbell,Tasmania JackJumpers,4.5,1.1,NA,570226,NA,TAB,Sydney Kings
