player_id,player_name,player_first_name,player_last_name,player_team,player_team_id,previous_games,previous_average,previous_total,locked,active,played_status,supercoach_price,points,games,minutes_played,total_rebouds,total_assists,total_steals,total_blocks,total_turnovers,supercoach_position_1,injury_suspension_status,injury_suspension_status_text,supercoach_position_2
65,Shea Ili,Shea,Ili,Melbourne United,1,26,25.12,653,FALSE,TRUE,Yet to play,263000,0,0,0,9,36,9,0,-10,GRD,Injury,Hamstring. Subject to fitness test.,NA
66,Tom Koppens,Tom,Koppens,Melbourne United,1,8,1.63,13,FALSE,TRUE,Yet to play,62000,0,0,0,6,2,9,3,-6,FWD,NA,NA,NA
67,Tanner Krebs,Tanner,Krebs,Melbourne United,1,29,8.17,237,FALSE,TRUE,Yet to play,122100,0,0,0,24,22,12,3,-6,GRD,NA,NA,FWD
68,Fabijan Krslovic,Fabijan,Krslovic,Melbourne United,1,28,13.57,380,FALSE,TRUE,Yet to play,164100,0,0,0,69,28,15,54,-14,FWD,NA,NA,NA
69,Malith Machar,Malith,Machar,Melbourne United,1,0,0,0,FALSE,TRUE,Yet to play,58500,0,0,0,8,2,0,6,-4,FWD,NA,NA,NA
70,Nicolas Tata,Nicolas,Tata,Melbourne United,1,0,0,0,FALSE,TRUE,Yet to play,58500,0,0,0,0,0,0,0,0,CTR,NA,NA,NA
71,Tyson Walker,Tyson,Walker,Melbourne United,1,0,0,0,FALSE,TRUE,Yet to play,322000,0,0,0,41,112,72,9,-48,GRD,NA,NA,NA
72,Tom Wilson,Tom,Wilson,Melbourne United,1,0,0,0,FALSE,TRUE,Yet to play,59900,0,0,0,22,18,3,0,-4,GRD,NA,NA,NA
73,Sean Bairstow,Sean,Bairstow,New Zealand Breakers,7,26,7.85,204,FALSE,TRUE,Yet to play,58500,0,0,0,5,8,0,0,-6,GRD,PlayingNextRound,Selected in starting line up,FWD
74,Rob Baker II,Rob,Baker II,New Zealand Breakers,7,0,0,0,FALSE,TRUE,Yet to play,201000,0,0,0,54,12,24,30,-24,CTR,PlayingNextRound,Selected in starting line up,FWD
75,Taylor Britt,Taylor,Britt,New Zealand Breakers,7,0,0,0,FALSE,TRUE,Yet to play,71400,0,0,0,12,26,15,3,-18,GRD,PlayingNextRound,Selected in starting line up,NA
76,Izaiah Brockington,Izaiah,Brockington,New Zealand Breakers,7,0,0,0,FALSE,TRUE,Yet to play,242000,0,0,0,44,28,27,6,-38,GRD,PlayingNextRound,Selected in starting line up,NA
77,Tukaha Cooper,Tukaha,Cooper,New Zealand Breakers,7,0,0,0,FALSE,TRUE,Yet to play,58500,0,0,0,0,0,0,0,0,GRD,NotPlayingNextRound,Not selected to play in the upcoming round,NA
78,Max Darling,Max,Darling,New Zealand Breakers,7,21,8.81,185,FALSE,TRUE,Yet to play,69400,0,0,0,19,6,6,0,-4,FWD,PlayingNextRound,Selected in starting line up,NA
79,Carlin Davison,Carlin,Davison,New Zealand Breakers,7,10,6.2,62,FALSE,TRUE,Yet to play,152900,0,0,0,45,34,21,15,-18,FWD,PlayingNextRound,Selected in starting line up,GRD
80,Kaia *** Isaac,Kaia,*** Isaac,New Zealand Breakers,7,8,4,32,FALSE,FALSE,Yet to play,58500,0,0,0,0,0,0,0,0,GRD,NA,NA,NA
81,Parker Jackson-Cartwright,Parker,Jackson-Cartwright,New Zealand Breakers,7,21,37.1,779,FALSE,TRUE,Yet to play,397200,0,0,0,57,190,57,3,-78,GRD,PlayingNextRound,Selected in starting line up,NA
82,Liam Judd,Liam,Judd,New Zealand Breakers,7,0,0,0,FALSE,TRUE,Yet to play,58500,0,0,0,0,0,0,0,0,FWD,NotPlayingNextRound,Not selected to play in the upcoming round,NA
83,Izayah Le'afa,Izayah,Le'afa,New Zealand Breakers,7,29,11.45,332,FALSE,TRUE,Yet to play,89700,0,0,0,19,42,24,18,-12,GRD,PlayingNextRound,Selected in starting line up,NA
84,Robert Loe,Robert,Loe,New Zealand Breakers,7,29,22.03,639,FALSE,TRUE,Yet to play,120400,0,0,0,30,18,18,9,-10,FWD,Injury,Concussion. Expected recovery time is to be confirmed.,CTR
85,Karim López,Karim,López,New Zealand Breakers,7,25,19.12,478,FALSE,TRUE,Yet to play,246400,0,0,0,74,42,36,30,-34,GRD,PlayingNextRound,Selected in starting line up,FWD
